Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
215,NA,Underdogs,𝕌𝔻|👜efone,81012648596,774.71,356.1,372.7,728.8,CK2,N,AFK
216,NA,|MF|Misfits,MF_Lazy,81005401211,539.87,348.3,377.2,725.5,CK1,N,AFK
217,NA,StarWar,Epi,81012092324,866.39,355.6,369,724.6,CK2,N,Y
218,NA,StarWar,✰☬|Shroom,81007861221,958.29,343.9,380.3,724.2,CK3,N,Y
219,NA,|MF|Misfits,MF_Hybrid,81006110796,683.25,348.2,373.9,722.1,CK1,N,AFK
220,NA,CosaNostra,Death♥️💀🤖,81015160210,1240,324.9,396.7,721.6,CE1,N,Y
221,NA,UnderWorld,ㄩ山=丂卄丨几,81017823505,440.35,331.4,389.7,721.1,DL3,N,Y
222,NA,HeavenFighters,HF-Slava,81024117969,50.38,292.8,427.4,720.2,TI3,N,Y
223,NA,Divinity,☀️Pɑʀk,81022564753,135.17,326.6,392.9,719.5,GI2,N,Y
224,NA,HeavenFighters,HF-M̴a̴t̴t̴,81020596143,849.16,341.2,377.6,718.8,CK3,N,Y
225,NA,StarWar,✰☬|WyoHunter,81011189445,762.77,338,379.3,717.3,CK1,N,Y
226,NA,CosaNostra,Timmy❤️💀🤖,81017411169,180.3,338.3,375.9,714.2,GI3,N,AFK
227,NA,HeavenFighters,HF-光盘,81019612408,710.45,318.4,394.1,712.5,CK2,N,Y
228,NA,HeavenFighters,HF-TiaWrecks,81020581570,427.3,333.2,378.2,711.4,DL3,N,Y
229,NA,Divinity,☀️小钻风Drill,81025693054,153.68,247.3,462.5,709.8,GI3,N,Y
230,NA,StarWar,✰☬|🪿Ese,81011040727,243.04,277.3,432.3,709.6,GI3,N,Y
231,NA,HeavenFighters,HF-亞歷克斯。,81021857290,693.1,343,366.5,709.5,CK2,N,Y
232,NA,HeavenFighters,HF⚔️Faux🐉,81020688886,950.87,327.2,381.6,708.8,CK3,N,Y
233,NA,Liberation,🛡️Nishu🛡,81000179472,1100,314.4,393.9,708.3,CK3,N,Y
234,NA,Divinity,☀️Cuddles,81024351297,60.37,344,361.8,705.8,CI3,N,Y
235,NA,HeavenFighters,HF-Decimator,81022347262,937.51,339.2,365.7,704.9,CK2,N,Y
236,NA,StarWar,💫⚔️Destro,81009830645,973.64,327.3,377.1,704.4,CK3,N,Y
237,NA,UnderWorld,UWᛟፚᏋᏁᎧ,81015830624,914.32,343.9,360.5,704.4,CK3,N,Y
238,NA,StarWar,💫⚔️Moose,81011845262,983.45,306.9,397,703.9,CK3,N,Y
239,NA,Liberation,🛡️BBQ🛡,81000933914,986.34,321.3,382,703.3,CK3,N,Y
240,NA,CosaNostra,AshisASlut,81018748734,345.79,353.6,348.9,702.5,DL2,N,AFK
241,NA,HeavenFighters,HF-PORKCHOP,81021899560,803.26,307,394.9,701.9,CK3,N,Y
242,NA,HeavenFighters,HF-狮Lion,81020409346,948.86,332.7,365,697.7,CK3,N,Y
243,NA,HeavenFighters,HF-URA,81021957415,864.42,303.3,393.3,696.6,CK3,N,Y
244,NA,Underdogs,𝕌𝔻|Candle,81010649991,648.18,330.6,364.6,695.2,CK2,N,AFK
245,NA,Underdogs,𝕌𝔻|𝔾ogh²,81007392903,213.51,334.7,360.3,695,GI3,N,Y
246,NA,Divinity,izzi☀️,81022483380,213.11,331.4,363.5,694.9,GI3,N,Y
247,NA,Divinity,☀️最深的黑暗,81020865155,715.68,304.6,390.1,694.7,CK2,N,Y
248,NA,Dominion,⚔︎TefLuvr,81004558750,566.88,337.6,355.1,692.7,CK1,N,Y
249,NA,HeavenFighters,HF-Wool🦣,81020188593,203.39,330,362,692,GI3,N,Y
250,NA,Dominion,⚔︎Anni⚔︎,81003604601,653.12,358.2,332,690.2,CK2,N,Y
251,NA,HeavenFighters,HF-Genesisa,81020525974,27.23,265.1,425,690.1,GA3,N,Y
252,NA,Underdogs,𝕌𝔻|𝔻ong༻,81007437504,39.01,292.7,393.8,686.5,TI3,N,Y
253,NA,UnderWorld,（UW）😹Tom,81019058652,61.4,274.2,412.2,686.4,CI3,N,Y
254,NA,Divinity,☀️Aetós🦅,81023660449,85.65,311.4,371.6,683,SI3,N,Y
255,NA,|MF|Misfits,mfLevid,81004056938,532.42,320.2,361.7,681.9,CK1,N,AFK
256,NA,CosaNostra,Wildwolf灰太狼,81019181165,679.13,314.5,366.7,681.2,CK2,N,AFK
257,NA,Divinity,☀️LNKツ,81022831830,315.61,303.3,376.6,679.9,DL2,N,Y
258,NA,DownFall,DF~Freezer,81015980842,537.74,326.6,352.7,679.3,CK1,N,Y
259,NA,UnderWorld,(UW)Tram,81017981237,626.36,338.4,339.8,678.2,CK2,N,Y
260,NA,DownFall,DF~Nameless,81014445062,672.7,322.6,354.2,676.8,CK2,N,Y
261,NA,Divinity,☀️|NotOta,81023541660,187.31,302.5,371,673.5,GI3,N,Y
262,NA,DownFall,Saintan,81014065717,99.39,314,357.6,671.6,SI3,N,Y
